v10,u_curr,v_curr,elevation,target
-1.9323273,-0.01953125,-0.021484375,-110.0,1
-1.2135773,0.08105469,-0.060546875,-91.0,1
-0.9313507,-0.24414062,-0.09472656,116.0,1
-0.7594757,-0.24414062,-0.09472656,193.0,1
-2.0094757,0.09667969,0.0009765625,-60.0,1
-1.685257,-0.24414062,-0.09472656,51.0,1
-0.9391632,-0.24414062,-0.09472656,176.0,1
-0.6481476,-0.24414062,-0.09472656,166.0,1
-0.70869446,-0.24414062,-0.09472656,237.0,1
-1.5104523,-0.24414062,-0.09472656,153.0,1
-1.1754913,-0.24414062,-0.09472656,233.0,1
-0.9059601,-0.24414062,-0.09472656,360.0,1
-0.7126007,-0.24414062,-0.09472656,340.0,1
-0.662796,-0.24414062,-0.09472656,530.0,1
-3.4281006,-0.123046875,-0.16894531,-120.0,1
-3.0823975,-0.022460938,-0.064453125,-110.0,1
-2.130249,0.078125,-0.08691406,-91.0,1
-1.7357178,-0.24414062,-0.09472656,116.0,1
-1.3450928,-0.24414062,-0.09472656,193.0,1
-3.15271,0.107421875,-0.043945312,-60.0,1
-2.6097412,-0.24414062,-0.09472656,51.0,1
-1.6097412,-0.24414062,-0.09472656,176.0,1
-1.3538818,-0.24414062,-0.09472656,166.0,1
-1.3031006,-0.24414062,-0.09472656,237.0,1
-2.3538818,-0.24414062,-0.09472656,153.0,1
-1.7923584,-0.24414062,-0.09472656,233.0,1
-1.3841553,-0.24414062,-0.09472656,360.0,1
-1.2698975,-0.24414062,-0.09472656,340.0,1
-1.2015381,-0.24414062,-0.09472656,530.0,1
-4.278778,-0.140625,-0.20117188,-120.0,1
-3.9779968,-0.040039062,-0.10839844,-110.0,1
-2.9828796,0.06347656,-0.11230469,-91.0,1
-2.4858093,-0.24414062,-0.09472656,116.0,1
-2.2192078,-0.24414062,-0.09472656,193.0,1
-4.160614,0.10839844,-0.08886719,-60.0,1
-3.6781921,-0.24414062,-0.09472656,51.0,1
-2.6108093,-0.24414062,-0.09472656,176.0,1
-2.2416687,-0.24414062,-0.09472656,166.0,1
-2.3158875,-0.24414062,-0.09472656,237.0,1
-3.5463562,-0.24414062,-0.09472656,153.0,1
-3.0551453,-0.24414062,-0.09472656,233.0,1
-2.426239,-0.24414062,-0.09472656,360.0,1
-2.0238953,-0.24414062,-0.09472656,340.0,1
-1.9154968,-0.24414062,-0.09472656,530.0,1
-4.766449,-0.171875,-0.23144531,-120.0,1
-4.498871,-0.07324219,-0.14941406,-110.0,1
-3.587738,0.03515625,-0.13867188,-91.0,1
-2.9988708,-0.24414062,-0.09472656,116.0,1
-2.5828552,-0.24414062,-0.09472656,193.0,1
-4.520355,0.09863281,-0.13378906,-60.0,1
-4.1072693,-0.24414062,-0.09472656,51.0,1
-3.1580505,-0.24414062,-0.09472656,176.0,1
-2.7703552,-0.24414062,-0.09472656,166.0,1
-2.743988,-0.24414062,-0.09472656,237.0,1
-4.0174255,-0.24414062,-0.09472656,153.0,1
